2005-10-29;Norway;Trondheim;Ni Muser;Streifenjunko;;streifenjunko;
2006-02-15;Norway;Trondheim;Ni Muser;Streifenjunko;;streifenjunko;
2006-05-04;Norway;Oslo;Spasibar;Streifenjunko;;streifenjunko;
2006-05-23;Norway;Trondheim;Blæst;Streifenjunko;;streifenjunko;
2006-11-18;Norway;Oslo;Sound of Mu;Streifenjunko;;streifenjunko;
2006-11-19;Norway;Oslo;Sound of Mu;Streifenjunko;;streifenjunko;
2006-11-21;Norway;Trondheim;Ni Muser;Streifenjunko;;streifenjunko;
2007-03-02;Norway;Oslo;Jazid;Streifenjunko;;streifenjunko;
2007-03-10;Norway;Oslo;Fritt Fall / Sound of Mu;Streifenjunko;;streifenjunko;
2007-03-21;Norway;Bergen;Øyvind Jazzforum;Streifenjunko;;streifenjunko;
2007-04-20;Norway;Oslo;Sound of Mu;Streifenjunko;;streifenjunko;
2007-05-06;Norway;Oslo;Mir;Streifenjunko;;streifenjunko;
2007-05-26;Germany;Moers;Moers Festival, Morning Sessions;Streifenjunko;;streifenjunko;
2007-05-27;Germany;Moers;Moers Festival, Morning Sessions;Streifenjunko;;streifenjunko;
2007-05-28;Germany;Moers;Moers Festival, Morning Sessions;Streifenjunko;;streifenjunko;
2007-06-14;Norway;Stavanger;Tou Scene;Streifenjunko;;streifenjunko;
2007-06-15;Norway;Bergen;Lydgalleriet;Streifenjunko;;streifenjunko;
2007-06-16;Norway;Oslo;[sic!], Sagene Kulturverksted;Streifenjunko;;streifenjunko;
2007-06-17;Norway;Trondheim;Dokkhuset;Streifenjunko;;streifenjunko;
2007-06-29;Norway;Hobøl;Hobøl church;Streifenjunko;;streifenjunko;
2007-08-15;Sweden;Näs;Näs;Streifenjunko;;streifenjunko;
2007-09-13;Norway;Bergen;Landmark, Phonofestivalen;Streifenjunko;;streifenjunko;
2007-11-16;Norway;Trondheim;Dokkhuset, Fri Resonans Festival;Streifenjunko;;streifenjunko;
2008-01-09;Norway;Oslo;Levinsalen, NMH;Streifenjunko;;streifenjunko;
2008-02-18;Norway;Oslo;Belleville;Streifenjunko w/Merriwinkle;;streifenjunko;
2008-02-28;South Africa;Cape Town;Fine Music Radio;Streifenjunko;;streifenjunko;
2008-02-28;South Africa;Cape Town;Armchair Theatre;Streifenjunko;;streifenjunko;
2008-02-29;South Africa;Cape Town;South African College of Music;Streifenjunko;;streifenjunko;
2008-03-01;South Africa;Cape Town;Paul Bothner music;Streifenjunko;;streifenjunko;
2008-03-01;South Africa;Cape Town;On the Edge of Wrong festival;Streifenjunko;;streifenjunko;
2008-06-08;Japan;Tokyo;Kid Ailack Art Hall;Koboku Senju + Streifenjunko;;streifenjunko;
2008-06-09;Japan;Nagoya;K.D. Japon;Koboku Senju + Streifenjunko;;streifenjunko;
2008-06-10;Japan;Kyoto;Urbanguild;Koboku Senju + Streifenjunko;;streifenjunko;
2008-06-11;Japan;Takamatsu;More Music;Koboku Senju + Streifenjunko;;streifenjunko;
2008-06-12;Japan;Osaka;Common Café;Koboku Senju + Streifenjunko;;streifenjunko;
2008-06-13;Japan;Oita;At Hall;Koboku Senju + Streifenjunko;;streifenjunko;
2008-06-14;Japan;Fukuoka;Art Space Tetra;Koboku Senju + Streifenjunko;;streifenjunko;
2008-06-15;Japan;Kokura;Gallery Soap;Koboku Senju + Streifenjunko;;streifenjunko;
2008-06-16;Japan;Tokyo;Kid Ailack Art Hall;Streifenjunko;;streifenjunko;
2008-09-23;Norway;Trondheim;Pøkk, Blæst;Streifenjunko;;streifenjunko;
2008-09-26;Norway;Ålesund;Ungjazz;Streifenjunko;;streifenjunko;
2008-10-07;Netherlands;Utrecht;Theater Kikker;Streifenjunko;;streifenjunko;
2008-10-08;Netherlands;Tilburg;Paradox;Streifenjunko;;streifenjunko;
2008-10-09;Netherlands;Breda;Hijgend Hert;Streifenjunko;;streifenjunko;
2008-10-11;Norway;Oslo;Lindemansalen;Streifenjunko;;streifenjunko;
2008-10-12;Netherlands;Rotterdam;Worm;Streifenjunko;;streifenjunko;
2008-10-14;Netherlands;Nijmegen;Extrapool;Streifenjunko;;streifenjunko;
2008-10-15;Netherlands;Amsterdam;Zaal100;Streifenjunko;;streifenjunko;
2008-11-02;Germany;Berlin;Alberto Ukebana;Koboku Senju;;kobokusenju;
2008-11-03;Netherlands;Amsterdam;DNK;Koboku Senju;;kobokusenju;
2008-11-05;Sweden;Gothenburg;Brötz/NOW;Koboku Senju;;kobokusenju;
2008-11-06;Norway;Fredrikstad;Blå Grotte;Koboku Senju;;kobokusenju;
2008-11-07;Norway;Bergen;Ny Musikk;Koboku Senju;;kobokusenju;
2008-11-09;Norway;Oslo;Kampen Jazz;Koboku Senju;;kobokusenju;
2008-11-13;Norway;Inderøy;Inderøy Jazzforum;Koboku Senju;;kobokusenju;
2008-11-14;Norway;Trondheim;Fri Resonans;Koboku Senju;;kobokusenju;
2009-01-31;Norway;Oslo;Cinema Neuf;Streifenjunko;;streifenjunko;
2009-02-04;Norway;Oslo;Nasjonal Jazzscene;Trondheim Jazz Orchestra and Per Zanussi;;;
2009-02-07;Norway;Bergen;Bergen Jazzforum;Trondheim Jazz Orchestra and Per Zanussi;;;
2009-02-12;Norway;Bø;Bø Jazzklubb;Heidi Skjerve Quintet;;;
2009-02-13;Norway;Ålesund;Ålesund Jazzklubb;Heidi Skjerve Quintet;;;
2009-02-14;Norway;Trondheim;Olavs Pub;Heidi Skjerve Quintet;;;
2009-02-15;Norway;Trondheim;Gråmølna;Streifenjunko;;streifenjunko;
2009-02-21;Sweden;Stockholm;Glen Miller;Heidi Skjerve Quintet;;;
2009-02-27;Norway;Oslo;[sic!], Sagene Kulturverksted;Streifenjunko w/Morten Engebretsen;;streifenjunko;
2009-02-28;Norway;Oslo;Levinsalen, NMH;Streifenjunko w/Christian Wallumrød;;streifenjunko;
2009-03-03;Norway;Oslo;Auditoriet, NMH;Streifenjunko w/Kjell Bjørgeengen;;streifenjunko;
2009-04-19;Germany;Köln;Plattform nicht dokumentierbarer Ereignisse;Streifenjunko;;streifenjunko;
2009-04-20;Netherlands;Amsterdam;DNK;Streifenjunko;;streifenjunko;
2009-04-23;Norway;Inderøy;Nils Aas, Soddjazz;Streifenjunko w/Keith Rowe;;streifenjunko;
2009-04-24;Norway;Oslo;Soria Moria;Streifenjunko w/Rowe/Bjørgeengen;;streifenjunko;
2009-05-02;Norway;Oslo;Sound of Mu;Streifenjunko;;streifenjunko;
2009-05-14;USA;Philadelphia;Bowerbird;Streifenjunko;;streifenjunko;false
2009-05-16;USA;New York;IBeam;Streifenjunko;;streifenjunko;false
2009-05-17;USA;Cambridge;Lily Pad;Streifenjunko;;streifenjunko;false
2009-05-21;USA;Chicago;Elastic;Streifenjunko;;streifenjunko;false
2009-05-23;USA;Oakland;SOJA;Streifenjunko;;streifenjunko;false
2009-05-26;USA;Oakland;The Compound Gallery;Streifenjunko;;streifenjunko;false
2009-06-15;Norway;Oslo;Levinsalen, NMH;Streifenjunko;;streifenjunko;
2009-07-02;Norway;Kongsberg;Kongsberg Jazz Festival, Galleri Åkern;Streifenjunko;;streifenjunko;
2009-07-14;Norway;Molde;Molde Jazz Festival;Trondheim Jazz Orchestra and Kim Myhr;;;
2009-08-01;Norway;Trondheim;Olavsfestdagene;Trondheim Jazz Orchestra and Kim Myhr;;;
2009-09-12;Germany;Berlin;Ausland;Streifenjunko;;streifenjunko;
2009-09-23;Sweden;Stockholm;Fylkingen;Streifenjunko;;streifenjunko;
2009-09-26;Polen;Bydgoszcz;Mózg;Streifenjunko;;streifenjunko;
2009-09-29;France;Paris;Société des Curiosités;Streifenjunko;;streifenjunko;
2009-10-01;France;Montpellier;Rude Awakening;Streifenjunko;;streifenjunko;
2009-10-02;France;Rennes;La Bascule;Streifenjunko;;streifenjunko;
2009-10-03;France;Nantes;Bitche;Streifenjunko;;streifenjunko;
2009-10-09;Belgium;Antwerpen,  Deurne;Café Jeanne;Streifenjunko;;streifenjunko;
2009-10-10;Belgium;Gent;El Negocito;Streifenjunko;;streifenjunko;
2009-10-11;Belgium;Brussels;Les Ateliers Claus;Streifenjunko;;streifenjunko;
2009-10-31;Norway;Oslo;Soria Moria;Lars Myrvoll;;;
2009-11-09;Norway;Oslo;[sic!], Sagene Kulturhus;Streifenjunko w/Rowe/Bjørgeengen;;streifenjunko;
